place,number,rate,park,nightlife,children,nature,sports,historic,art_science,aquatic,shows,adventure
overland-park-ks,2784,4.4,39.45,40.38,85.41,45.99,118.36,188.54,121.34,9.8,94.81,15.87
owensboro-ky,360,4.16,39.82,4.81,34.19,54.19,38.31,62.19,27.28,20.65,14.47,9.09
oxnard-ca,1849,4.48,74.53,10.04,28.72,95.6,52.62,124.63,79.86,61.58,43.37,19.97
palatine-il,5745,4.5,68.38,73.72,114.58,90.76,112.78,255.76,293.19,36.72,301.49,41.03
palm-coast-fl,975,4.14,93.67,12.86,81.25,129.08,81.27,178.51,45.74,67.59,31.56,20.3
palm-harbor-fl,2504,4.39,74.75,25.11,96.1,61.58,87.84,141.47,103.67,54.49,144.71,24.9
palmdale-ca,2479,4.47,78.66,32.44,35.49,90.85,76.34,153.21,142.75,27.35,68.31,48.09
palo-alto-ca,3702,4.53,46.44,71.39,66.13,120.32,67.42,218.87,232.54,29.51,87.25,43.74
paradise-nv,13167,4.16,12.89,135.59,81.77,107.53,43.76,146.23,171.61,15.51,43.63,95.44
paramount-ca,8937,4.59,92.8,90.32,120.72,81.08,108.72,281.25,308.37,43.22,275.6,64.62
parma-oh,2252,4.43,31.9,37.02,92.74,51.36,84.99,128.79,119.17,11.12,46.09,22.97
pasadena-ca,8374,4.63,78.74,62.55,115.86,80.87,95.78,275.87,264.28,29.32,235.37,50.72
pasadena-tx,1810,4.37,69.93,12.49,114.67,63.91,45.42,143.87,199.58,21.13,75.38,48.93
pasco-wa,44,4.2,9.58,0.0,2.58,29.09,14.75,12.17,2.58,4.0,0.0,3.58
passaic-nj,7254,4.6,80.61,100.61,100.55,65.95,133.85,240.83,255.33,28.13,292.2,25.52
paterson-nj,7014,4.61,75.36,100.61,86.44,64.16,129.87,239.85,251.88,34.13,292.2,25.52
pawtucket-ri,1624,4.09,66.67,19.56,50.52,121.05,71.0,229.02,113.36,40.35,74.92,37.54
peabody-ma,3711,4.32,48.51,45.68,76.52,95.93,66.12,231.38,194.83,20.84,81.24,52.82
pearland-tx,1662,4.4,68.35,12.49,114.67,67.94,33.03,123.9,192.71,13.31,68.51,45.23
pembroke-pines-fl,1397,4.12,78.32,43.94,98.88,90.61,28.56,119.97,137.72,60.67,33.19,28.24
pensacola-fl,297,3.93,14.81,2.0,23.25,43.55,25.68,49.2,60.87,36.66,33.55,6.91
peoria-az,8787,4.46,21.34,25.37,66.94,56.6,98.64,177.01,150.85,0.0,150.07,27.43
peoria-il,1014,4.44,58.94,1.0,57.78,39.3,33.34,99.28,22.7,4.32,6.48,18.56
perris-ca,1211,4.11,67.25,5.32,76.47,73.07,70.18,107.71,83.85,37.97,87.42,62.2
perth-amboy-nj,6122,4.56,73.56,87.98,107.51,57.01,125.41,306.22,247.31,14.08,289.14,40.59
petaluma-ca,1694,4.36,29.17,15.31,63.89,118.42,46.61,121.17,89.49,19.38,40.08,24.0
pharr-tx,80,4.4,5.58,0.0,4.17,26.34,3.58,15.3,1.0,11.75,0.0,0.0
philadelphia-pa,3080,4.56,88.95,22.27,78.87,65.39,65.52,202.38,118.62,32.82,99.2,30.73
phoenix-az,2844,4.39,26.48,31.1,53.72,64.38,153.76,179.47,154.34,5.46,166.61,30.61
pico-rivera-ca,8714,4.58,91.8,54.74,121.72,81.69,104.3,296.29,289.36,40.05,207.54,61.18
pine-hills-fl,3340,4.33,50.69,35.22,235.76,112.63,69.04,121.32,71.15,59.2,42.01,59.35
placentia-ca,6033,4.5,109.21,65.87,115.9,93.08,105.35,293.83,242.65,43.22,169.69,65.49
plano-tx,3403,4.35,93.86,82.3,112.0,102.26,41.9,119.39,127.96,11.72,101.59,52.32
plantation-fl,1439,4.13,69.19,43.94,95.73,85.65,27.56,111.01,140.72,55.71,33.19,24.24
plymouth-mn,4454,4.58,65.52,20.33,104.33,60.8,116.84,90.74,167.98,9.27,149.51,33.31
pocatello-id,93,3.79,7.58,0.0,24.02,51.8,22.63,18.0,5.0,6.58,2.0,6.58
poinciana-fl,3487,4.36,70.8,30.58,234.49,102.27,46.28,134.45,84.56,55.28,85.78,48.62
pomona-ca,5368,4.55,100.9,38.35,111.7,73.51,87.35,213.38,215.1,23.95,172.6,46.93
pompano-beach-fl,1232,4.04,70.45,26.3,102.07,77.9,22.39,91.07,114.33,47.16,0.0,12.07
pontiac-mi,2034,4.25,71.23,71.58,80.82,72.49,97.45,183.05,188.47,12.99,196.91,34.34
port-arthur-tx,145,3.82,31.5,0.0,36.53,58.04,6.17,34.44,13.34,16.89,0.0,17.3
port-charlotte-fl,639,3.91,63.77,13.44,63.89,51.79,32.15,75.42,67.56,40.19,52.16,16.41
port-orange-fl,1211,4.21,75.25,15.55,70.98,135.69,102.53,112.03,44.77,66.91,75.93,17.31
porterville-ca,415,4.4,4.81,5.32,19.9,61.24,19.56,42.3,32.34,2.81,40.88,11.75
portland-me,802,4.12,25.93,9.17,52.09,58.64,27.88,109.66,56.42,18.01,2.0,13.8
portland-or,1576,4.34,32.14,51.72,68.27,51.65,15.98,119.43,97.08,9.32,104.57,45.61
portsmouth-va,1114,4.26,33.87,4.17,81.47,65.72,22.04,176.61,93.4,28.82,29.6,13.49
provo-ut,941,4.17,51.16,0.0,41.47,96.27,71.43,70.97,51.32,11.58,28.14,8.63
pueblo-co,673,4.19,21.65,7.98,42.26,94.6,25.85,45.46,51.48,5.17,38.83,5.29
quincy-ma,3916,4.32,49.29,45.68,61.17,94.52,77.65,236.05,199.55,21.0,88.02,45.41
racine-wi,2925,4.44,84.72,14.94,75.64,109.24,69.37,120.41,135.07,38.22,87.69,17.34
raleigh-nc,1877,4.34,62.56,70.44,70.74,48.22,65.9,139.95,141.41,15.52,83.78,19.97
rancho-cordova-ca,781,4.02,35.93,24.83,47.26,81.31,40.97,145.25,86.24,10.58,55.77,17.72
rapid-city-sd,834,4.16,20.89,11.12,69.01,92.6,33.73,118.47,72.74,3.32,4.0,35.13
reading-pa,934,4.1,54.84,2.0,91.0,54.92,27.37,130.74,46.03,14.56,18.97,41.9
redding-ca,76,4.1,5.0,0.0,7.17,46.89,21.08,11.0,14.51,1.58,0.0,10.58
redlands-ca,1230,4.12,66.35,5.32,75.05,66.91,79.87,103.08,71.93,18.89,77.32,58.13
redmond-wa,4350,4.41,95.81,55.37,71.21,156.9,98.75,234.57,249.22,37.23,129.79,46.2
redondo-beach-ca,8950,4.59,97.58,70.51,142.89,90.33,95.45,285.4,283.19,51.48,247.14,56.83
redwood-city-ca,3225,4.49,52.38,24.79,106.73,89.32,56.51,257.0,210.77,30.1,77.87,60.06
reno-nv,3426,4.16,8.17,17.48,16.92,71.12,41.9,71.55,55.09,8.17,15.18,6.17
renton-wa,4061,4.41,87.63,52.82,75.89,121.8,78.39,214.01,254.1,23.64,96.49,56.33
revere-ma,3832,4.32,53.09,45.68,77.64,96.69,64.28,219.77,188.19,19.0,81.24,45.41
rialto-ca,3729,4.56,92.73,5.32,93.67,71.19,77.0,140.48,94.7,32.43,121.8,44.61
richardson-tx,3394,4.34,102.26,82.3,115.7,105.96,54.44,100.18,143.19,11.72,101.59,52.32
richmond-ca,3030,4.41,45.58,53.49,137.49,90.37,45.09,262.79,239.92,24.29,107.43,75.89
